config_top_k,config_threshold,config_temperature,config_response_mode,recall_at_k,precision_at_k,map_score,mrr_score,exact_match,f1_token_score,rouge_l,bleu_score,total_time,correctness,relevancy,faithfulness,semantic_similarity,ragas_faithfulness,ragas_answer_relevancy,ragas_context_recall,ragas_context_precision,composite_score
5,0.5,0.1,compact,0.0,0.0,0.9445833333333333,0.9625,0.35,0.7353075431781384,0.734607202143758,0.6288537435109341,1.9991039991378785,0.95,1.0,0.65,0.9786900756696045,0.65,1.0,0.5625,0.5625,0.7742876303732007
10,0.5,0.5,compact,0.0,0.0,0.9179156746031746,0.9625,0.4,0.7447672070528413,0.7443700825514799,0.6470984178287869,2.3340489149093626,0.95,1.0,0.6,0.979406912034414,0.6,1.0,0.58125,0.58125,0.7728710775686543
5,0.35,0.5,compact,0.0,0.0,0.9445833333333333,0.9625,0.35,0.7438849001022905,0.7432164078977506,0.6464515391308769,2.3264171957969664,0.95,1.0,0.6,0.9787891987188198,0.6,1.0,0.5625,0.5625,0.7712716356475879
5,0.5,0.5,compact,0.0,0.0,0.9445833333333333,0.9625,0.3,0.7486646569251427,0.7507988212040186,0.6382755637522057,1.783367133140564,0.9400000000000001,1.0,0.65,0.9788803565379116,0.65,1.0,0.6,0.6,0.7712398469989401
3,0.5,0.1,compact,0.0,0.0,0.95,0.95,0.45,0.7637119490724416,0.7628448756502425,0.6773326944691413,2.082106387615204,0.9199999999999999,0.95,0.5,0.9774319337404306,0.5,0.95,0.55625,0.55625,0.7703093332383211
5,0.5,0.0,compact,0.0,0.0,0.9445833333333333,0.9625,0.35,0.7396649326019815,0.7420218181510722,0.6396770476619237,1.9304667472839356,0.95,1.0,0.6,0.9791480577437637,0.6,1.0,0.59375,0.59375,0.7703069509043647
10,0.5,0.0,compact,0.0,0.0,0.9179156746031746,0.9625,0.35,0.7509719331137609,0.7575721088530056,0.6540823313022324,2.3747422814369203,0.95,1.0,0.6,0.9801358068878263,0.6,1.0,0.58125,0.58125,0.7693466051831294
10,0.35,0.1,compact,0.0,0.0,0.9179156746031746,0.9625,0.35,0.7493907480629844,0.7574358785352237,0.6527746212157542,2.1659001111984253,0.95,1.0,0.6,0.9792539797224308,0.6,1.0,0.58125,0.58125,0.7690250657095464
10,0.5,0.1,compact,0.0,0.0,0.9179156746031746,0.9625,0.3,0.7487321871038977,0.7518881661403881,0.647455838204561,2.068163049221039,0.95,1.0,0.65,0.9795663509611229,0.65,1.0,0.575,0.575,0.7675461485514098
5,0.35,0.1,compact,0.0,0.0,0.9445833333333333,0.9625,0.35,0.7319020666896937,0.7406956529941517,0.636298157468146,2.268505311012268,0.9400000000000001,1.0,0.6,0.9791530467524323,0.6,1.0,0.55625,0.55625,0.7673620196190631
10,0.35,0.0,compact,0.0,0.0,0.9179156746031746,0.9625,0.35,0.7478842190016922,0.7441296186190091,0.6481033713356127,2.2766876935958864,0.95,1.0,0.6,0.97970313626464,0.6,1.0,0.575,0.575,0.7670294178238859
5,0.35,0.0,compact,0.0,0.0,0.9445833333333333,0.9625,0.35,0.7433872118962853,0.7453127919967688,0.6429172017268827,2.2421239256858825,0.9400000000000001,1.0,0.55,0.978803466971699,0.55,1.0,0.6,0.6,0.7643934115181021
3,0.5,0.0,compact,0.0,0.0,0.95,0.95,0.4,0.7541858230836591,0.7584921060238342,0.6628162720927052,2.2703492760658266,0.9099999999999999,0.95,0.5,0.9774412798141962,0.5,0.95,0.575,0.575,0.7602270308524772
3,0.35,0.1,compact,0.0,0.0,0.95,0.95,0.35,0.748482578033413,0.7538029178771365,0.6432267052225535,2.39418420791626,0.9099999999999999,0.95,0.55,0.9747139219416706,0.55,0.95,0.5375,0.5375,0.7578880493496482
10,0.35,0.5,compact,0.0,0.0,0.9179156746031746,0.9625,0.3,0.7527312042010297,0.7581973792200308,0.6463277587318139,2.4134992361068726,0.95,1.0,0.55,0.9817104119363405,0.55,1.0,0.5625,0.5625,0.7575856022341458
3,0.35,0.0,compact,0.0,0.0,0.95,0.95,0.35,0.7353833250970689,0.7358164820808066,0.6279902733142426,2.367370617389679,0.9,0.95,0.6,0.9730270710944154,0.6,0.95,0.55,0.55,0.7575501884264627
3,0.5,0.5,compact,0.0,0.0,0.95,0.95,0.35,0.7320347838907046,0.7385046440681537,0.6302147635703258,2.1992589950561525,0.9,0.95,0.55,0.9759494906572833,0.55,0.95,0.55625,0.55625,0.7514816435774628
3,0.35,0.5,compact,0.0,0.0,0.95,0.95,0.3,0.7402886962620892,0.7480470061626452,0.6337890510343202,1.7978126168251038,0.9,0.95,0.55,0.9743688995254871,0.55,0.95,0.53125,0.53125,0.7478820577635613
3,0.7,0.1,compact,0.0,0.0,0.35,0.35,0.15,0.2471897793588746,0.23931142681142678,0.20526294212296836,0.720163893699646,0.32,0.35,0.15,0.38211931989215725,0.15,0.35,0.16875,0.16875,0.2634738584422742
5,0.7,0.0,compact,0.0,0.0,0.35,0.35,0.15,0.23929199744781,0.23396945974379602,0.19950369917403327,0.7190228700637817,0.29,0.35,0.2,0.3804144786398269,0.2,0.35,0.18125,0.18125,0.2631932635789116
