query_id,config_top_k,config_threshold,config_temperature,config_response_mode,map_score,mrr_score,correctness,relevancy,faithfulness,bleu_score,total_time
849d3361,3,0.35,0.0,compact,1.0,1.0,5.0,1.0,1.0,1.0,2.8370578289031982
ca450431,3,0.35,0.0,compact,1.0,1.0,5.0,1.0,1.0,0.22340741581309514,2.149472951889038
00bdad3f,3,0.35,0.0,compact,1.0,1.0,5.0,1.0,0.0,0.35043832202523123,1.584589958190918
3b06dd93,3,0.35,0.0,compact,1.0,1.0,5.0,1.0,0.0,1.0,5.195514917373657
ba3790fa,3,0.35,0.0,compact,1.0,1.0,5.0,1.0,1.0,1.0,4.666872024536133
65d98c76,3,0.35,0.0,compact,1.0,1.0,4.0,1.0,1.0,0.43837575820390956,3.5820751190185547
03a533a3,3,0.35,0.0,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.464378833770752
67fabf7a,3,0.35,0.0,compact,1.0,1.0,3.0,1.0,0.0,0.3454325860389904,2.629887104034424
841e8920,3,0.35,0.0,compact,1.0,1.0,5.0,1.0,1.0,0.08345761876158002,4.40012001991272
d42eca7d,3,0.35,0.0,compact,1.0,1.0,4.0,1.0,1.0,0.5052279240652235,2.2533209323883057
f6d4e2a5,3,0.35,0.0,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.3011729717254639
209d67b9,3,0.35,0.0,compact,1.0,1.0,5.0,1.0,0.0,1.0,0.9996390342712402
f2aa0c49,3,0.35,0.0,compact,1.0,1.0,5.0,1.0,1.0,0.7977240352174656,1.3431971073150635
63e2a964,3,0.35,0.0,compact,1.0,1.0,4.0,1.0,0.0,0.4251600867505681,1.991391897201538
d1440325,3,0.35,0.0,compact,1.0,1.0,5.0,1.0,0.0,0.5424975142220966,1.0209987163543701
44d5b178,3,0.35,0.0,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.210623025894165
347708ad,3,0.35,0.0,compact,1.0,1.0,5.0,1.0,1.0,0.8370455349335584,1.5538849830627441
2e49387e,3,0.35,0.0,compact,1.0,1.0,5.0,1.0,0.0,0.8250286473253902,2.353024959564209
93940125,3,0.35,0.0,compact,1.0,1.0,4.0,1.0,1.0,0.18601002292774269,3.1165201663970947
f1ac1852,3,0.35,0.0,compact,0.0,0.0,1.0,0.0,1.0,3.6201205882143917e-155,1.6936697959899902
849d3361,3,0.35,0.1,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.3317699432373047
ca450431,3,0.35,0.1,compact,1.0,1.0,5.0,1.0,0.0,0.4588314677411235,1.5469517707824707
00bdad3f,3,0.35,0.1,compact,1.0,1.0,5.0,1.0,0.0,0.35043832202523123,1.354801893234253
3b06dd93,3,0.35,0.1,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.2040400505065918
ba3790fa,3,0.35,0.1,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.2341787815093994
65d98c76,3,0.35,0.1,compact,1.0,1.0,4.0,1.0,1.0,0.43837575820390956,1.9606871604919434
03a533a3,3,0.35,0.1,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.6161260604858398
67fabf7a,3,0.35,0.1,compact,1.0,1.0,4.0,1.0,0.0,0.33295604590814587,2.1346209049224854
841e8920,3,0.35,0.1,compact,1.0,1.0,5.0,1.0,1.0,0.08046626711787301,4.336293935775757
d42eca7d,3,0.35,0.1,compact,1.0,1.0,4.0,1.0,1.0,0.5052279240652235,1.9810898303985596
f6d4e2a5,3,0.35,0.1,compact,1.0,1.0,5.0,1.0,0.0,1.0,2.481376886367798
209d67b9,3,0.35,0.1,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.8415496349334717
f2aa0c49,3,0.35,0.1,compact,1.0,1.0,5.0,1.0,1.0,0.7977240352174656,1.5530939102172852
63e2a964,3,0.35,0.1,compact,1.0,1.0,4.0,1.0,0.0,0.50709255283711,2.3356540203094482
d1440325,3,0.35,0.1,compact,1.0,1.0,5.0,1.0,0.0,0.5424975142220966,1.1926212310791016
44d5b178,3,0.35,0.1,compact,1.0,1.0,5.0,1.0,1.0,1.0,2.474552869796753
347708ad,3,0.35,0.1,compact,1.0,1.0,5.0,1.0,1.0,0.8370455349335584,1.720339059829712
2e49387e,3,0.35,0.1,compact,1.0,1.0,5.0,1.0,0.0,0.8250286473253902,5.6524388790130615
93940125,3,0.35,0.1,compact,1.0,1.0,4.0,1.0,1.0,0.18885003485394347,2.3519506454467773
f1ac1852,3,0.35,0.1,compact,0.0,0.0,1.0,0.0,1.0,3.6201205882143917e-155,7.579546689987183
849d3361,3,0.35,0.5,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.4192681312561035
ca450431,3,0.35,0.5,compact,1.0,1.0,5.0,1.0,0.0,0.4588314677411235,1.6478071212768555
00bdad3f,3,0.35,0.5,compact,1.0,1.0,5.0,1.0,0.0,0.3324549831021843,1.249370813369751
3b06dd93,3,0.35,0.5,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.0977067947387695
ba3790fa,3,0.35,0.5,compact,1.0,1.0,5.0,1.0,1.0,0.8451542547285166,1.3328649997711182
65d98c76,3,0.35,0.5,compact,1.0,1.0,4.0,1.0,1.0,0.43837575820390956,1.557713270187378
03a533a3,3,0.35,0.5,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.4316649436950684
67fabf7a,3,0.35,0.5,compact,1.0,1.0,3.0,1.0,0.0,0.26633163477615585,2.4437739849090576
841e8920,3,0.35,0.5,compact,1.0,1.0,5.0,1.0,1.0,0.08481440650146477,4.5185387134552
d42eca7d,3,0.35,0.5,compact,1.0,1.0,4.0,1.0,1.0,0.5052279240652235,2.149714231491089
f6d4e2a5,3,0.35,0.5,compact,1.0,1.0,5.0,1.0,0.0,1.0,2.1443347930908203
209d67b9,3,0.35,0.5,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.2306618690490723
f2aa0c49,3,0.35,0.5,compact,1.0,1.0,5.0,1.0,1.0,0.7977240352174656,1.3727469444274902
63e2a964,3,0.35,0.5,compact,1.0,1.0,4.0,1.0,0.0,0.538305421923955,2.0050158500671387
d1440325,3,0.35,0.5,compact,1.0,1.0,5.0,1.0,0.0,0.5424975142220966,1.33073091506958
